id,fname,lname,email,service,addedOn,updatedOn
1001,Scott,Zimmerman,Scott.Zimmerman@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1002,Jodi,Jones,Jodi.Jones@MyTV.com,Pik,2022-05-19 22:45,2022-05-19 22:45
1003,Lee,Lewis,Lee.Lewis@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1004,Jason,Morrison,Jason.Morrison@MyTV.com,Pik,2022-05-19 22:45,2022-05-19 22:45
1005,Christina,Hardy,Christina.Hardy@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1006,Joseph,Hall,Joseph.Hall@MyTV.com,Pik,2022-05-19 22:45,2022-05-19 22:45
1007,Melissa,Stephenson,Melissa.Stephenson@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1008,Robin,Small,Robin.Small@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1009,Erik,Wilson,Erik.Wilson@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1010,Joshua,Hays,Joshua.Hays@MyTV.com,Pik,2022-05-19 22:45,2022-05-19 22:45
1011,David,Allen,David.Allen@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1012,Karen,Little,Karen.Little@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1013,Daniel,Flores,Daniel.Flores@MyTV.com,Pik,2022-05-19 22:45,2022-05-19 22:45
1014,Darrell,Price,Darrell.Price@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1015,Cynthia,Clayton,Cynthia.Clayton@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1016,Justin,Donovan,Justin.Donovan@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1017,Michael,Garcia,Michael.Garcia@MyTV.com,Pik,2022-05-19 22:45,2022-05-19 22:45
1018,Jasmine,Lester,Jasmine.Lester@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1019,Jennifer,Fox,Jennifer.Fox@MyTV.com,Pik,2022-05-19 22:45,2022-05-19 22:45
1020,George,Hall,George.Hall@MyTV.com,Optik,2022-05-19 22:45,2022-05-19 22:45
1021,Bryan,Jones,Bryan.Jones@MyTV.com,Pik,2022-05-19 22:45,2022-05-19 22:45
